country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Sri Lanka,2000,Population density (people per sq. km of land area),LKA,307.655142720459,,,0,South Asia
Sri Lanka,1999,Population density (people per sq. km of land area),LKA,302.100637856801,,,0,South Asia
Sri Lanka,1998,Population density (people per sq. km of land area),LKA,296.539674693031,,,0,South Asia
Sri Lanka,1997,Population density (people per sq. km of land area),LKA,290.993461967788,,,0,South Asia
Sri Lanka,1996,Population density (people per sq. km of land area),LKA,285.520937649498,,,0,South Asia
Sri Lanka,1995,Population density (people per sq. km of land area),LKA,280.084005740711,,,0,South Asia
Sri Lanka,1994,Population density (people per sq. km of land area),LKA,275.486732578536,,,0,South Asia
Sri Lanka,1993,Population density (people per sq. km of land area),LKA,271.502439802264,,,0,South Asia
Sri Lanka,1992,Population density (people per sq. km of land area),LKA,266.931653643757,,,0,South Asia
Sri Lanka,1991,Population density (people per sq. km of land area),LKA,262.722915005581,,,0,South Asia
Sri Lanka,1990,Population density (people per sq. km of land area),LKA,260.763163769734,,,0,South Asia
Sri Lanka,1989,Population density (people per sq. km of land area),LKA,259.106314782331,,,0,South Asia
Sri Lanka,1988,Population density (people per sq. km of land area),LKA,256.396443948334,,,0,South Asia
Sri Lanka,1987,Population density (people per sq. km of land area),LKA,253.812406314782,,,0,South Asia
Sri Lanka,1986,Population density (people per sq. km of land area),LKA,250.857215755063,,,0,South Asia
Sri Lanka,1985,Population density (people per sq. km of land area),LKA,247.873608674853,,,0,South Asia
Sri Lanka,1984,Population density (people per sq. km of land area),LKA,246.242385584436,,,0,South Asia
Sri Lanka,1983,Population density (people per sq. km of land area),LKA,245.396172859193,,,0,South Asia
Sri Lanka,1982,Population density (people per sq. km of land area),LKA,243.766018178919,,,0,South Asia
Sri Lanka,1981,Population density (people per sq. km of land area),LKA,240.781597831287,,,0,South Asia
Sri Lanka,1980,Population density (people per sq. km of land area),LKA,236.77202997927,,,0,South Asia
Sri Lanka,1979,Population density (people per sq. km of land area),LKA,232.492648700367,,,0,South Asia
Sri Lanka,1978,Population density (people per sq. km of land area),LKA,228.195311752512,,,0,South Asia
Sri Lanka,1977,Population density (people per sq. km of land area),LKA,224.037171105087,,,0,South Asia
Sri Lanka,1976,Population density (people per sq. km of land area),LKA,220.009089459416,,,0,South Asia
Sri Lanka,1975,Population density (people per sq. km of land area),LKA,216.057789826184,,,0,South Asia
