"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:FAS(4.0.0)","DNK.FA65.POGDP.A","OBS_VALUE","Denmark","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","DNK.FA65.XDC.A","OBS_VALUE","Denmark","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ISL.FA65.XDC.A","OBS_VALUE","Iceland","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","PLW.FA65.POGDP.A","OBS_VALUE","Palau, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ISL.FA65.POGDP.A","OBS_VALUE","Iceland","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","FRA.FA65.POGDP.A","OBS_VALUE","France","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","FRA.FA65.XDC.A","OBS_VALUE","France","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MUS.FA65.POGDP.A","OBS_VALUE","Mauritius","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","0.004691479379831107","0.005217177986765667","0.006219415374954754","0.03659384348613964","0.1751048178330667","0.6068752839077123","0.7556544520863314","1.01700752163359"
"IMF.STA:FAS(4.0.0)","MUS.FA65.XDC.A","OBS_VALUE","Mauritius","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","21.0","24.67","31.1","187.4","786.0","2905.76134062","4316.25289105","6628.02107984"
"IMF.STA:FAS(4.0.0)","KAZ.FA65.POGDP.A","OBS_VALUE","Kazakhstan, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KAZ.FA65.XDC.A","OBS_VALUE","Kazakhstan, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GNQ.FA65.XDC.A","OBS_VALUE","Equatorial Guinea, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","WBG.FA65.XDC.A","OBS_VALUE","West Bank and Gaza","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","55.3","",""
"IMF.STA:FAS(4.0.0)","WBG.FA65.POGDP.A","OBS_VALUE","West Bank and Gaza","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","0.3053730189408581","",""
